episode,discountedReturn,averageDiscountedReturn,episodeLength,averageEpisodeLength
208,6.513215599,4.8918022406,10,9
209,6.513215599,4.89956019925,10,9
210,6.513215599,4.90724427259,10,9
211,6.513215599,4.9148555111,10,9
212,0,4.89167223039,0,9
213,6.12579511,4.89746623452,9,9
214,1.9,4.88345938295,2,8
215,5.6953279,4.88723551559,8,8
216,6.513215599,4.89476320116,10,8
217,-4.782969,4.85016535692,7,8
218,6.513215599,4.85779402775,10,8
219,5.6953279,4.86161838333,8,8
220,6.513215599,4.8691256434,10,8
221,-2.87420489,4.83408794868,9,8
222,6.12579511,4.83990644941,9,8
223,6.513215599,4.84741007788,10,8
224,6.513215599,4.85484670967,10,8
225,6.12579511,4.86049536923,9,8
226,6.513215599,4.8678082906,10,8
227,6.12579511,4.87335008276,9,8
228,6.12579511,4.8788432627,9,8
229,6.12579511,4.88428846728,9,8
230,6.513215599,4.89137075915,10,8
231,6.12579511,4.89671458751,9,8
232,1.9,4.88379771429,2,8
233,6.12579511,4.88912817521,9,8
234,6.513215599,4.89606871976,10,8
235,6.513215599,4.90295019584,10,8
236,-1.97420489,4.87380970819,9,8
237,5.217031,4.8752578993,7,8
238,6.513215599,4.8821400745,10,8
239,6.513215599,4.88896465829,10,8
240,6.513215599,4.89573237054,10,8
241,6.513215599,4.90244391921,10,8
242,6.12579511,4.90749908942,9,8
243,-3.87420489,4.87136038991,9,8
244,6.513215599,4.8780893047,10,8
245,5.6953279,4.88142497244,8,8
246,6.513215599,4.88805826767,10,8
247,6.513215599,4.89463785201,10,8
248,-3.782969,4.8596475018,7,8
249,5.217031,4.86108277689,7,8
250,6.12579511,4.86614162622,9,8
251,6.513215599,4.87270367392,10,8
252,6.513215599,4.87921364188,10,8
253,6.513215599,4.88567214764,10,8
254,-3.3046721,4.85342669785,8,8
255,6.513215599,4.85993567393,10,8
256,5.6953279,4.86319892481,8,8
257,6.513215599,4.86961922316,10,8
258,1.9,4.85810907113,2,8
259,6.12579511,4.86300361182,9,8
260,6.12579511,4.8678605022,9,8
261,-2.882969,4.83816383744,7,8
262,6.513215599,4.84455716477,10,8
263,6.513215599,4.85090187365,10,8
264,5.6953279,4.85410045708,8,8
265,6.513215599,4.86036126894,10,8
266,6.513215599,4.86657500702,10,8
267,6.513215599,4.87274220025,10,8
268,6.513215599,4.87886336965,10,8
269,6.12579511,4.88349880362,9,8
270,6.12579511,4.88809990106,9,8
