episode,discountedReturn,averageDiscountedReturn,episodeLength,averageEpisodeLength
61,-0.857784401,-1.71110211335,10,10
62,6.08913742519,-1.58529179821,12,10
63,5.8618940391,-1.46708249921,11,10
64,-2.2381059609,-1.47912974079,11,10
65,-28.0310131,-1.88762025401,8,10
66,6.12579511,-1.76620486971,9,10
67,-9.18861489,-1.87698710882,9,10
68,4.6953279,-1.78033541751,8,10
69,-3.3046721,-1.80242725349,8,10
70,5.81773464648,-1.69356779778,13,10
71,-14.1146721,-1.86851292879,8,10
72,-31.539069,-2.28060398534,7,10
73,5.21669317167,-2.17790128456,13,10
74,6.513215599,-2.0604537591,10,10
75,5.41532357558,-1.96077672797,13,10
76,-3.79819372833,-1.98495326745,13,10
77,6.0518940391,-1.88057862711,11,10
78,4.2770185971,-1.80163507295,17,10
79,5.41259431802,-1.71031571357,14,10
80,4.74258811832,-1.62965441567,16,10
81,-14.53030489,-1.78892170548,9,10
82,-3.49013326481,-1.80966818791,12,10
83,4.45700182179,-1.7341661396,23,11
84,6.4744735501,-1.63644423853,11,11
85,-12.60320489,-1.76546495208,9,11
86,-5.3930487509,-1.80764615904,11,11
87,6.10880547267,-1.71665246213,13,11
88,-2.35174589,-1.7238694329,9,11
89,-22.782969,-1.96048852916,7,11
90,-22.882969,-2.19296053439,7,10
91,5.66964866941,-2.10655823545,14,11
92,-3.87420489,-2.12577178604,9,10
93,5.31579511,-2.04575493769,9,10
94,5.35741141797,-1.9669978488,19,11
95,6.3304530391,-1.87965626051,11,11
96,-12.87420489,-1.99418280873,9,11
97,6.3835971391,-1.90781394329,11,11
98,6.16194957267,-1.82546941762,13,11
99,5.266625599,-1.75383209422,10,11
100,-3.9481059609,-1.77577483289,11,11
101,-11.5291154406,-1.87234256168,14,11
102,4.98706664241,-1.80509345183,23,11
103,-0.857784401,-1.79589627658,10,11
104,-4.3046721,-1.82001912104,8,11
105,-13.0038233499,-1.92653154226,11,11
106,6.2714040391,-1.84919252735,11,11
107,5.92911463519,-1.77649806788,12,11
108,-0.43520489,-1.76407868661,9,11
109,4.407031,-1.70746300141,7,11
110,5.90910673109,-1.63822145839,16,11
111,4.6735971391,-1.58135822778,11,11
112,-14.40564589,-1.69586079619,9,11
113,-1.24520489,-1.69187269083,9,11
114,-4.018225401,-1.71227929355,10,11
115,-2.9361131,-1.72292132665,8,11
116,-10.399243401,-1.7977172066,10,11
117,4.82949118296,-1.74107439985,15,11
118,-4.2068928609,-1.76197116647,11,11
119,-11.1683451755,-1.84101632621,15,11
120,5.217031,-1.78219926516,7,11
121,5.80606898509,-1.71948630441,12,11
122,6.2714040391,-1.65398720323,11,11
123,6.10880547267,-1.59087506766,13,11
124,-18.53520489,-1.7275228888,9,11
125,-2.87420489,-1.73669634481,9,11
126,5.15474742519,-1.68200234664,12,11
127,5.703215599,-1.62385102423,10,11
128,-2.58412053537,-1.63135312979,15,11
129,6.16596673519,-1.57090878975,12,11
130,6.513215599,-1.50872321753,10,11
131,6.513215599,-1.44748704336,10,11
132,5.922725599,-1.3916520991,10,11
133,-5.19039536481,-1.42021407854,12,11
134,-12.4046721,-1.50218764586,8,11
135,-18.2920936599,-1.62655732004,11,11
136,-3.87420489,-1.64308414041,9,11
137,6.3304530391,-1.5848831391,11,11
138,5.0309368291,-1.53694241469,11,11
139,-10.32301179,-1.60015154689,9,11
140,-15.124548511,-1.69675438234,10,11
141,-4.60320489,-1.71736750651,9,11
142,-0.6770164499,-1.71004109062,11,11
143,-2.94218922923,-1.71865751117,20,11
144,6.12579511,-1.66418214575,9,11
145,-4.9607721,-1.68691724888,8,11
146,-9.147784401,-1.73801907869,10,11
147,-7.25966257481,-1.77558127934,12,11
148,-34.8659,-1.99916451394,5,10
149,-0.526081301,-1.98927804942,10,10
150,-3.1478438609,-1.9970018215,11,10
151,-3.142884401,-2.00459044786,10,10
