episode,discountedReturn,averageDiscountedReturn,episodeLength,averageEpisodeLength
271,6.513215599,-2.34434111339,10,8
272,-0.8656721,-2.33890483026,8,8
273,-0.43520489,-2.3319315704,9,8
274,-22.782969,-2.40657039314,7,8
275,0.3809179,-2.39643407207,8,8
276,-0.43520489,-2.38932816924,9,8
277,-2.4046721,-2.38938356249,8,8
278,6.513215599,-2.3573598245,10,8
279,-3.3046721,-2.360755209,8,8
280,6.12579511,-2.33044610072,9,8
281,6.12579511,-2.30035271563,9,8
282,-1.97420489,-2.29919616305,9,8
283,0.81138511,-2.28820470979,9,8
284,5.6953279,-2.26009367948,8,8
285,6.513215599,-2.22931013815,10,8
286,-9.8656721,-2.25601070445,8,8
287,6.12579511,-2.22680580614,9,8
288,-14.3046721,-2.26874284188,8,8
289,-1.97420489,-2.26772367942,9,8
290,-1.16420489,-2.26391844221,9,8
291,-10.5046721,-2.29223718331,8,8
292,6.12579511,-2.26340830559,9,8
293,0.3809179,-2.25438330147,8,8
294,-18.362969,-2.30917440929,7,8
295,-2.87420489,-2.31108976685,9,8
296,-6.7705721,-2.32615558555,8,8
297,-2.87420489,-2.3280008694,9,8
298,-10.5946721,-2.35574137689,8,8
299,0.22089511,-2.34712386355,9,8
300,-3.87420489,-2.35221413364,9,8
301,-1.5946721,-2.3496973827,8,8
302,-4.3046721,-2.35617080891,8,8
303,-2.4046721,-2.35633087918,8,8
304,6.12579511,-2.32842914895,9,8
305,6.12579511,-2.30071038089,9,8
306,-2.87420489,-2.30258454595,9,8
307,-2.072969,-2.30183661258,7,8
308,-0.8656721,-2.29717374079,8,8
309,-13.9049,-2.33473919794,5,8
310,-0.43520489,-2.32861166791,9,8
311,5.217031,-2.30434915129,7,8
312,-9.0876411,-2.32609047164,8,8
313,6.513215599,-2.29784987717,10,8
314,-9.2095721,-2.31986173138,8,8
315,6.513215599,-2.29182021604,10,8
316,-41.111,-2.41466572169,4,8
317,-8.50931,-2.43389172888,6,8
318,5.6953279,-2.40832814514,8,8
319,-21.782969,-2.46906369641,7,8
320,6.513215599,-2.44099407361,10,8
321,0.81138511,-2.43086205123,9,8
322,6.513215599,-2.40308541257,10,8
323,-1.16420489,-2.39924986915,9,8
324,-1.97420489,-2.39793800193,9,8
325,-10.343969,-2.42238732808,7,8
326,-7.977869,-2.4394286829,7,8
327,4.0951,-2.41944541476,5,8
328,-0.2095721,-2.41270799612,8,8
329,6.12579511,-2.38675509914,9,8
330,-0.2095721,-2.3801575749,8,8
331,6.513215599,-2.353289378,10,8
332,-2.87420489,-2.35485840062,9,8
333,-1.16420489,-2.35128286456,9,8
334,-14.782969,-2.38850348173,7,8
335,6.513215599,-2.36193118596,10,8
336,-11.072969,-2.38785689374,7,8
337,-10.5046721,-2.41194239881,8,8
338,-24.47441,-2.47721597159,6,8
339,6.12579511,-2.45183835778,9,8
340,-9.8656721,-2.47364375114,8,8
341,0.22089511,-2.46574187765,9,8
342,-6.1144721,-2.47641067947,8,8
343,0.81138511,-2.466825269,9,8
344,-21.60441,-2.52245778276,6,8
345,6.513215599,-2.49626742513,10,8
346,6.513215599,-2.47022845685,10,8
347,-3.3046721,-2.47263319357,8,8
348,-13.153769,-2.50332611256,7,8
349,-9.6946721,-2.52393168845,8,8
350,0.22089511,-2.51608932617,9,8
351,6.513215599,-2.49036481072,10,8
352,-1.97420489,-2.4888984473,9,8
353,6.513215599,-2.4633967078,10,8
354,6.513215599,-2.43803904591,10,8
355,-2.87420489,-2.43926768209,9,8
356,6.513215599,-2.41412025715,10,8
357,-2.4046721,-2.41409379172,8,8
358,-6.1144721,-2.42443004398,8,8
359,-45.9049,-2.54554555918,5,8
360,6.513215599,-2.52038233374,10,8
361,-12.072969,-2.54684379265,7,8
362,-12.782969,-2.57512038162,7,8
363,5.217031,-2.55365439985,7,8
364,5.6953279,-2.53099236056,8,8
365,-6.1144721,-2.54081011327,8,8
366,-3.782969,-2.54420399001,7,8
367,-10.8656721,-2.56687829004,8,8
368,-4.31441,-2.57162701751,6,8
369,-9.8656721,-2.59139407736,8,8
370,-0.43520489,-2.58556653901,9,8
371,6.12579511,-2.56208577985,9,8
372,-10.4849,-2.58338366754,5,8
373,6.513215599,-2.55899600195,10,8
374,-9.2095721,-2.57677829098,8,8
375,-9.2095721,-2.59446574114,8,8
376,6.513215599,-2.57024318438,10,8
377,-8.9656721,-2.58720718681,8,8
378,4.68559,-2.56796698261,6,8
379,-0.8656721,-2.56347543939,8,8
380,6.513215599,-2.53958941034,10,8
381,-9.687869,-2.55835129902,7,8
382,-9.0269,-2.57528467259,5,8
383,-2.882969,-2.57608802592,7,8
384,5.6953279,-2.55454788028,8,8
385,6.513215599,-2.53099524787,10,8
386,6.513215599,-2.50756464982,10,8
387,-0.43520489,-2.50220971504,9,8
388,-10.5046721,-2.52283461809,8,8
389,1.0,-2.51377848797,1,8
390,-1.16420489,-2.51031804285,9,8
391,-0.8656721,-2.50611178724,8,8
392,1.34282611,-2.49629306811,9,8
393,-18.362969,-2.53666628931,7,8
394,-4.3046721,-2.54115361371,8,8
395,1.0,-2.53218866785,1,8
396,-9.16541,-2.54893922677,6,8
397,0.81138511,-2.54047493373,9,8
398,-9.8656721,-2.55887995173,8,8
399,-10.982969,-2.57999295687,7,8
400,6.12579511,-2.5582284867,9,8
401,-7.904969,-2.57156200419,7,8
402,6.513215599,-2.54896305493,10,8
403,-3.3046721,-2.55083826348,8,8
404,0.22089511,-2.5439775373,9,8
405,-2.4046721,-2.54363357326,8,8
406,6.513215599,-2.52132606299,10,8
407,-9.687869,-2.53893427659,7,8
408,6.12579511,-2.51769719476,9,8
409,0.81138511,-2.50955762922,9,8
410,-16.297379,-2.54318646183,7,8
411,-1.5946721,-2.540878641,8,8
412,6.513215599,-2.51890268411,10,8
413,-3.87420489,-2.52218428751,9,8
414,6.513215599,-2.50035965011,10,8
415,5.6953279,-2.48061100541,8,8
416,6.513215599,-2.45899122992,10,8
417,-7.7190821,-2.4716053567,8,8
418,-29.60441,-2.5365163726,6,8
419,6.12579511,-2.51584259817,9,8
420,-4.31441,-2.52012490151,6,8
421,-3.87420489,-2.52334124353,9,8
422,6.513215599,-2.50192760172,10,8
423,-2.4046721,-2.50169768328,8,8
424,-12.3046721,-2.52481790596,8,8
425,6.513215599,-2.50355194477,10,8
426,-14.99741,-2.53288025006,6,8
427,-12.072969,-2.55522237828,7,8
428,5.6953279,-2.53594539165,8,8
429,6.513215599,-2.51485177629,10,8
430,-4.31441,-2.51903679541,6,8
431,1.34282611,-2.51007655665,9,8
432,6.513215599,-2.48918930629,10,8
433,-9.6946721,-2.50583014415,8,8
434,-1.97420489,-2.50460520117,9,8
435,-7.4266721,-2.51592029749,8,8
436,-9.8656721,-2.5327775264,8,8
437,-6.3776411,-2.54157584121,8,8
438,-18.31931,-2.57759806532,6,8
439,6.12579511,-2.55777256833,9,8
440,6.513215599,-2.53715668614,10,8
441,6.12579511,-2.51751280451,9,8
442,-4.3046721,-2.52155615133,8,8
443,5.217031,-2.50408755731,7,8
444,-3.8706101,-2.50716531079,8,8
445,-13.31441,-2.53145125391,6,8
446,0.81138511,-2.52395610511,9,8
447,1.9,-2.51405911159,2,8
448,4.68559,-2.49798846625,6,8
449,4.68559,-2.48198940508,6,8
450,5.6953279,-2.46381758884,8,8
451,6.513215599,-2.44391285894,10,8
452,0.81138511,-2.43671087228,9,8
453,-0.43520489,-2.43229253678,9,8
454,-4.3046721,-2.43641672084,8,8
455,1.34282611,-2.42811069264,9,8
456,2.71,-2.41684290603,3,8
457,2.71,-2.4056244314,3,8
458,0.81138511,-2.3986003931,9,8
459,-10.5946721,-2.41645675848,8,8
460,-15.487379,-2.44487180683,7,8
461,-35.31441,-2.51617232352,6,8
462,-9.6190821,-2.5315465871,8,8
463,6.513215599,-2.51201146359,10,8
464,-12.3046721,-2.53311633565,8,8
465,-1.5946721,-2.531098176,8,8
466,2.71,-2.51985118421,3,8
467,6.513215599,-2.50050842879,10,8
468,0.22089511,-2.49469346396,9,8
469,0.3809179,-2.48856209645,8,8
470,-3.87420489,-2.4915102726,9,8
471,-8.787869,-2.50487833784,7,8
472,-2.87420489,-2.50566080935,9,8
473,6.12579511,-2.48741248817,9,8
